id,viTri,tuyenDuong,lat,lng,soVu,mucDo,nguyenNhan,docCao,cuaGap,satLo,taLuy,congTruong,choDan,suongMu,giaSuc,duongXau,khuyenCao
1,Ngã tư km4,Đường Điện Biên,21.71507,104.90782,10,Nguy cơ cao,"Đường hẹp, dốc cao, quanh co, đường trơn trượt, khó đi, sạt lở",1,0,1,0,0,0,0,0,1,"Giảm tốc độ, không vượt xe tại khúc cua"
2,Đường Nguyễn Tất Thành - đoạn qua Cổng Chào,Đường Nguyễn Tất Thành,21.72597,104.92274,15,Nguy cơ cao,Gần trường học,0,0,0,0,1,0,0,0,0,"Giảm tốc độ, không vượt xe tại khúc cua"
3,Ngã tư Cầu Bách Lẫm,Đường tỉnh 279,21.70998,104.89141,25,Nguy cơ rất cao,Taluy âm cao,0,0,0,1,0,0,0,0,0,"Giảm tốc độ, không vượt xe tại khúc cua"
4,Ngã tư Cầu Văn Phú giao với đường ven sông,Quốc lộ 32,21.67755,104.91981,12,Nguy cơ cao,"Đèo dốc, nhiều khúc cua khuất tầm nhìn, phương tiện xuống dốc nhanh",1,1,0,0,0,0,0,0,1,"Giảm tốc độ, không vượt xe tại khúc cua"
5,Tuyến đường Yên Ninh (đoạn trung tâm Km5),Đường Yên Ninh,21.7262,104.90564,4,Nguy cơ thấp,"Cổng trường học, đông phương tiện",0,0,0,1,0,1,0,0,1,"Giảm tốc độ, không vượt xe tại khúc cua"
6,Ngã 5 Cao Lanh,Đường tỉnh 279,21.71139,104.88729,7,Nguy cơ trung bình,"Mật độ phương tiện cao, đường trơn trượt, nhiều đá sỏi khó đi",0,0,0,0,0,1,0,0,1,"Giảm tốc độ, không vượt xe tại khúc cua"
7,Ngã tư Nam Cường,Quốc lộ 32,21.71474,104.87884,8,Nguy cơ trung bình,"Đèo dốc, nhiều khúc cua khuất tầm nhìn, phương tiện xuống dốc nhanh, đường sạt lở",1,1,1,0,0,0,0,0,0,"Giảm tốc độ, không vượt xe tại khúc cua"
8,Đường Lê Hồng Phong giao với đường sắt,Quốc lộ 32,21.70844,104.87125,2,Nguy cơ thấp,"Gia súc qua lại, giao với đường sắt",1,0,0,0,0,0,1,0,0,"Giảm tốc độ, không vượt xe tại khúc cua"
9,Đường Ngô Minh Loan giao đường đi Vần,Đường tỉnh 279,21.69678,104.85954,22,Nguy cơ rất cao,"Đường khó đi, đông dân cư",1,0,0,0,0,0,0,1,0,"Giảm tốc độ, không vượt xe tại khúc cua"
10,Đường ven sông giao với Cầu Giới Phiên,Quốc lộ 32,21.68857,104.90285,14,Nguy cơ cao,"Nhiều khúc cua, gia súc qua lại",0,0,0,0,1,0,0,1,0,"Giảm tốc độ, không vượt xe tại khúc cua"
